Link to Full Case Details,Case Number,Defendant Name,Offence Date,Local Authority,Main Activity,Offence Description,Total Fine
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4771191,4771191,BAM Nuttall Limited[1],05/06/2022,Shetland,42990 - CIVIL ENGINEERING PROJECT NEC.,"Failed to ensure a suitable safe system of work for use of a Skip including provision of relevant safety information, instruction and adequate supervision, failed to monitor the work activities on site of the workers under your control, fail to ensure that workers on site were provided with basic safety information regarding use of said skip, and a worker not employed by you was fatally injured when the bale arm of the skip fell on him while he was cleaning said skip,",972000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4537814,4537814,Avant Homes (Scotland) Limited[1],19/04/2017,Edinburgh UA,41100 - DEVELOPMENT BUILDING PROJECTS,Struck by concrete block which fell from vehicle during unloading operation and was fatally injured,333000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4708155,4708155,Carrig Construction Services Limited[1],22/11/2019,Glasgow UA,43120 - SITE PREPARATION,"Failed to provide supports or battering for the excavation, failed to ensure that no material forming the walls of the excavation became dislodged or fell and failed to ensure no person was buried or trapped in the excavation by material which is dislodged or falls, whereby an employee was working in the said unsupported excavation which subsequently collapsed causing serious personal injury resulting in employee's death.",75000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4703103,4703103,Diageo Scotland Limited[1],24/02/2021,Moray UA,11010 - DISTILLING/BLENDING SPIRITS,"Failed to develop and implement procedures for the safe isolation of plant and equipment that contains hazardous substances which include hot, chemical and flammable substances, to prevent loss of said substances that can cause serious or fatal injury and in particular this resulted in the loss of a hot substance, pot ale at approximately 104oC, causing severe injury to an employee, and failed to ensure that the plant was designed and constructed so that it could be safely isolated by means of a proved isolation and this did result in severe injury to an employee when the isolation did fail and he was scalded with hot pot ale",1075000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4508792,4508792,East Dunbartonshire Council[1],06/02/2016,East Dunbartonshire UA,85200 - PRIMARY EDUCATION,"Carried out work which was liable to expose employees to lead, namely the manual scraping of paint containing lead off walls, without making a suitable and sufficient assessment of the risk created by that work to the health of employees, and of the steps needed to be taken to control that risk, to the serious risk to health and safety",36000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4643381,4643381,Christopher King[1],04/07/2019,South Lanarkshire UA,02100 - SILVICULTURE/FORESTRY ACTIVITY,"failed to ensure that work equipment was maintained and in an efficient state, in efficient working order and in good repair; in that the brake was defective, the transmission lever did not move freely, the choke and throttle cables had been disconnected and inadequate makeshift repairs had been undertaken; failed to ensure that the guards and protective devices provided namely the control handle and the electrical switch circuit on the dead man’s handle fitted to the stump grinder were maintained in an efficient state, efficient working order and in good repair, in that part of the dead man’s handle control bar had been removed and the electrical connections to the dead man’s handle had been dislodged or overridden preventing the dead man’s handle from operating; whereby whereby a self-employed arborist who had been appointed by you to use said stump grinder to undertake a tree stump removal suffered serious leg injuries resulting in amputation of the left leg below the knee when he became entangled in the rotating grinding wheel of stump grinder.",0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4748202,4748202,Falkirk Council[1],23/02/2022,Falkirk UA,45200 - MVR,"Failed to implement a safe system of work for working on air suspension systems following receipt of a HSE Safety Alert regarding air suspension systems, which resulted in employee's arm becoming trapped under the vehicle, severely injuring him whilst he was replacing an airbag on a refuse collection vehicle suspension system.",70000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4643457,4643457,eFab Limited[1],04/03/2019,Aberdeenshire UA,25110 - MF METAL (PARTIAL) STRUCTURES,"Failed to provide adequate information, instruction, training and supervision as is necessary to ensure the health and safety at work of employees with regards to work at height activity on a flatbed trailer. Further failed to provide reasonably practicable control measures for work at height on a flatbed trailer during cradle loading, this resulted in an employee falling from the flatbed trailer and suffering injury.",8000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4663104,4663104,G S Robertson Limited[1],21/10/2019,Angus UA,41201 - CONSTRUCTION COMMERCIAL BLDGS,"Failed to ensure the provision of systems of work that were safe and without risk to health, and arrange for ensuring the safety and absence of risks to health in connection with the work at height on fragile roof surfaces such as roof lights and corrugated cement roof sheeting. Did not ensure the provision of such information, instruction, training and supervision as is necessary which resulted in an employee sustaining serious personal injuries when he fell through a broken roof light on the fragile roof of the cattle shed he was working at height on and landed on a concrete floor over 5 metres below the point of his fall",16000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4677308,4677308,Fernbrooke Scotland LLP[1],06/05/2019,Falkirk UA,43120 - SITE PREPARATION,Carried out out work at the exposed foundations at the base of the random rubble wall which abutted the stable building on the site without a proper engineer designed solution to ensure that the wall did not become unstable whereby the method of work caused the wall to collapse and resulted in the death of two workers and the serious injury of two workers,50000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4757319,4757319,4 Power Limited[1],03/12/2020,Cheshire West and Chester UA,43999 - SPECIALISED CONST NOT SCAFFOLD,"4 Power Ltd failed to ensure that suitable precautions have been taken to prevent injury to persons undertaking work including; the climbing of steel towers for the purposes of inspection, replacement or maintenance of step bolts whilst the associated conductors are live.",80000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4793927,4793927,Alan Chesters[1],25/01/2021,Wirral,61900 - TELECOMMS ACTIVITIES NEC,"The Dutyholder (DH) worked in Lingham Primary School and installed a new cabinet, cables and phone sockets. In doing so they drilled into and pulled cables through walls / partitions. DH was not competent / adequately trained on the risks of, and / or regarding working on or near to asbestos. DH did not identify the presence of asbestos before they commenced work at Lingham Primary School. DH worked in a manner whereby they did not prevent asbestos fibre exposure and / or spread, so far as is reasonably practicable. DH worked in a manner that exposed themselves and others (including vulnerable children) to asbestos fibres.",320.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4780363,4780363,All Clear Services Limited[1],07/11/2022,Shropshire UA,39000 - REMEDIATION/WASTE MGT SERVICES,"Failing to ensure that work at height was properly planned, appropriately supervised and carried out in a manner which is so far as is reasonably practicable safe.",18000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4793489,4793489,Alt Berg Holdings Limited[1],07/06/2021,North Yorkshire,64209 - HOLDING COMPANIES NEC,Exposure to asbestos fibres,6000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4787932,4787932,AB Agri Limited[1],03/11/2021,East Riding,10910 - MF PREPARED FEED 4 FARM ANIMAL,Access to dangerous parts of machinery not prevented during clearing of blockages,566000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4751463,4751463,Abdul Rehman[1],01/01/2021,Manchester,41100 - DEVELOPMENT BUILDING PROJECTS,Construction work on a domestic property under the control of the homeowner Abdul Rehman. Unsafe work at height (PN issued) & poor order & site security measures at site (IN issued). Both enforcement notices issued in November 2021 were breached. This is a proactive prosecution – no injury or accidents that HSE are aware of.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4670509,4670509,A & P Falmouth Limited[1],10/05/2017,Cornwall UA,30110 - BLD SHIPS/FLOATING STRUCTURES,"Unintentional collapse of crane – Jib of crane 21 lowered uncontrollably landing on Acetylene cylinders. No serious injuries sustained. Inadequate maintenance Failing to make suitable and sufficient assessment of the risks arising from Crane 21 operation. Failing to make and give effect to such arrangements as are appropriate for the effective planning, organisation, control, monitoring and review of the preventative and protective measures.",750000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4718961,4718961,A.I.M. Access Solutions Ltd[1],20/05/2021,Knowsley,41200 - CONSTRUCTION OF BUILDINGS,"Prosecution of AIM Access Solutions Limited . Fatality. failure to comply with manufacturer’s specifications failure to plan, supervise and carry out work in a safe manner, non-employees of AIM were at risk such as the users of the scaffold",30800.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4755553,4755553,Amber Precast Ltd.[1],14/01/2021,Sheffield,23610 - CONCRETE CONSTRUCTION PRODUCTS,"Inadequate systems of work, including lack of information instruction and training",60000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4809471,4809471,Aliweld Limited[1],02/08/2023,Gateshead,25990 - MF FABRICATED METAL PROD NEC,"The employee was stacking sheets of aluminium, with the use of an overhead crane, on the floor leaning away from him, these fell towards him pushing him backwards, scraping his torso and winding him. There was a foreseeable risk of injury to employees using this system of work for storage. Safer systems of work for storage are well established, and reasonably practicable.",16666.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4785477,4785477,J.J. Morris Limited[1],19/11/2022,Pembrokeshire UA,82990 - BUSINESS SUPPORT SERVICE NEC,J J Morris Ltd failed to ensure suitable precautions were been taken to prevent injury to persons not in their employment in relation to Whitland Mart where a cow escaped the mart and fatally wounded a member of the public in Whitland.,75000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4713865,4713865,Howard Walters[1],25/01/2021,Swansea UA,01500 - MIXED FARMING,Prosecution for failure to comply with Prohibition Notice,500.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4786003,4786003,Jaswinder Singh Kingra[1],06/08/2022,Neath & Port Talbot UA,68209 - LET/OPERATION REAL ESTATE NEX,Landlord failed to produce a gas safety record to the Council.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4780124,4780124,Morspan Construction Limited[1],25/04/2020,Newport UA,42990 - CIVIL ENGINEERING PROJECT NEC.,"Failed to ensure the health and safety at work of employees and non-employees –inadequate risk assessment and safe system of work for lifting and turning steel beams, inadequate information, instruction and training and supervision.",50000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4788607,4788607,Maelor Feeds Limited[1],30/01/2023,Wrexham UA,46110 - SALE AGRI MATERIAL ANIMAL ETC,Failure to adequately segregate vehicles and pedestrians on site,60000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4791255,4791255,Kronospan Ltd[1],31/03/2021,Wrexham UA,20140 - ORGANIC BASIC CHEMICALS NEC,"IP removing straps from trailer when a pack of waste MDF fell on him, resulting in his leg being amputated from below the knee.",400000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4757173,4757173,National Grid Electricity Distribution (South Wale[1],03/12/2020,"Rhondda, Cynon, Taff UA",35120 - TRANSMISSION OF ELECTRICITY,"National Grid Electricity Distribution (South Wales) PLC failed to ensure suitable precautions were been taken to prevent injury to persons undertaking work including; the climbing of steel towers for the purposes of inspection, replacement or maintenance of step bolts whilst the associated conductors were live.",3200000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4773816,4773816,Openreach Limited[1],06/10/2020,Gwynedd UA,61200 - WIRELESS TELECOMMUNICATIONS ACTIVITIES,No safe system of work for work on or near water,1340000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4780656,4780656,Steven Charles Thomas[1],31/03/2021,Pembrokeshire UA,38110 - COLLECTION NON-HAZARDOUS WASTE,"TBS Skips, Waterston Ind Estate - Prosecution - IP Struck by Vehicle",0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4774503,4774503,Bespoke Stone Ltd[1],17/06/2022,Ipswich,23700 - CUT/SHAPE/FINISH STONE,Handling and storage of stone slabs leading to multiple bone fractures,6600.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4787438,4787438,Code A Weld (Great Yarmouth) Limited[1],19/11/2022,Great Yarmouth,25990 - MF FABRICATED METAL PROD NEC,PUWER 4 (1) – unsuitable work equipment used to cold jack out the flanges on a steel drum.,24000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4787456,4787456,David Fowler[1],19/11/2022,Great Yarmouth,25990 - MF FABRICATED METAL PROD NEC,HSWA S37 – for Mr David FOWLER as unsafe activity carried out with his consent,2000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4792996,4792996,First Fix Drylining Limited[1],10/06/2023,Basildon,43390 - OTHER BUILDING COMPLETION,No measures in place to prevent danger from overhead powerlines or falls from height,40000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4772753,4772753,Ford & Slater Limited[1],09/05/2022,W Norfolk & Kings Lynn,45200 - MVR,Ford & Slater Limited - PR - Fatality - 09.06.2022,200000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4756354,4756354,Graham Kiss[1],16/05/2019,Brentwood,41202 - CONSTRUCTION DOMESTIC BLDGS,The floor of a new build house was being installed via crane. The floor collapsed at some time in the afternoon the cause of the collapse has been found to be poor quality building work.,4000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4800713,4800713,London Gates & Railings Ltd[1],30/08/2022,Hertsmere,43290 - CONSTRUCTION INSTALLATION NEC,Prosecution under HSWA s2 and s3 relating to failings in management of lifting operations and use of FLTs following serious injury incident,40000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4723340,4723340,Neil Howard[1],07/09/2019,Three Rivers,43991 - SCAFFOLD ERECTION,Neil Howard - PR re WaH 4(1) & HSWA 2(1) via s37(1),0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4788880,4788880,Pura Foods Limited[1],27/01/2021,Thurrock UA,10410 - MANUFACTURE OF OILS AND FATS,Serious injury during pigging process. CM9 4.7.20640,200000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4792130,4792130,David Beadle[1],10/08/2022,Lewisham,41200 - CONSTRUCTION OF BUILDINGS,Breach of prohibition notice P080822IS01 and unsafe work at height for failing to ensure suitable and sufficient measures in place to prevent persons falling from height.,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4754063,4754063,D&D Commercial Services Limited[1],19/08/2021,,22110 - TYRES/TUBES RETREAD/REBUILDING,Dangerous moving parts failed to stop before any part of any person entered danger zone.,54000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4796372,4796372,Harish Parmar[1],11/05/2022,,,"Section 37 - HSWA prosecution of Mr Harish Parmar as a director of Hi Spec Building & Maintenance Ltd for failing to control risks from work at height and all work on site, as well as breach of 2 prohibition notices.",0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4796366,4796366,Hi Spec Building & Maintenance Ltd[1],11/05/2022,,41202 - CONSTRUCTION DOMESTIC BLDGS,"Failure to discharge duty under CDM 2015 Reg 8(1); and repeated breaches of health, safety and welfare and breach of 2 Prohibition Notices (WAH and all work on site).",83000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4716948,4716948,M & M Mobile Crane Hire Ltd[1],24/02/2020,Newham LB,46140 - SALE INDUST EQPT/SHIP/AIRCRAFT,"1)Failure to conduct his undertaking in such a way as to ensure, so far as is reasonably practicable, that persons not in his employment who may be affected thereby are not thereby exposed to risks to their health or safety. 2)Failure to ensure, so far as is reasonably practicable, the health, safety and welfare at work of all his employees.",48000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4790669,4790669,Limasole Limited[1],20/02/2023,Ealing,10890 - MF OTHER FOOD PRODUCTS NEC,Significant machinery guarding risks (as well as work at height) and poor inspection history,18000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4692460,4692460,David Richard Barker[1],09/10/2020,Bromley,38110 - COLLECTION NON-HAZARDOUS WASTE,"David Richard Barker - Prosecution Case - Failure to comply with notices The offences are 2 charges under section 37(1) of the Health and Safety at Work etc Act, that due to his consent as a director of BSP (Knockholt) Limited the company failed to comply with (i) Improvement Notice IN/GC/17092020/01; and (ii) Improvement Notice IN/GC/17092020/02",0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4768923,4768923,New Auto Tech Limited[1],04/05/2022,Haringey,45200 - MVR,No measures were in place to prevent vehicles striking pedestrians – a member of the public who was a minor was struck by a moving vehicle and suffered serious personal injuries.,10000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4764435,4764435,Myco Contracts Limited[1],16/10/2020,Kensington & Chelsea,43390 - OTHER BUILDING COMPLETION,No control measures in place to prevent contact with live electrical cable.,93333.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4773153,4773153,Elliott Henry Kirk[1],21/06/2022,North East Derbyshire,33200 - INSTALLATION OF INDUSTRIAL MACHINERY & EQUIPMENT,Prosecution of individual after failing to take suitable and sufficient steps to prevent the risk of striking and underground service.,800.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4745781,4745781,Amey Community Limited[1],05/12/2017,Lincoln,84110 - GENERAL PUBLIC ADMINISTRATION,Lack of management of risk of legionella,600000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4773156,4773156,Belper Skip Hire Limited[1],21/06/2022,North East Derbyshire,38320 - RECOVERY OF SORTED MATERIALS,"Prosecution of company after failing to ensure that the work being undertaken at Road Nook Farm, Wessington was undertaken in such a way to ensure so far as is reasonably practicable, that persons not in its employment are not exposed to risks to their health or safety.",26667.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4769693,4769693,Charnwood Ventilation Hygiene Limited[1],21/06/2021,Leicester UA,35300 - STEAM/AIR CONDITIONING SUPPLY,"Contractor had accessed the roof of the building to remove the ducting to one of the machines below. He had laid out crawl boards on the roof to provide secure access to the area he was working in. Whilst carrying out work the contractor fell through one of the adjacent skylights, falling to the ground below.",60000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4709327,4709327,Bio Dynamic (UK) Ltd[1],20/09/2017,Gedling,38210 - TREAT/DISPOSE NON-HAZARD WASTE,No safe system of work for use of angle grinder on top of buffer tank at Anaerobic Digester . An explosion resulted in life changing injuries to two employees,297500.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4791979,4791979,Business Concepts (U.K.) Limited[1],13/01/2021,Nottingham UA,46900 - NON-SPECIALISED WSALE TRADE,Subcontractor fell from unsafe scaffold tower,50000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4774165,4774165,Green Meadows Limited[1],18/10/2022,Charnwood,38320 - RECOVERY OF SORTED MATERIALS,"Operative, a senior user with 7+ years experience of this machine, was using a PRESONA baler model LH100CH4K - an automatic baling machine. Whilst no manual intervention should be required, individual bales of recycled material need to be checked to ensure they have been tied correctly and if not the machine needs to be taken out of automatic mode and switched off so bales can be tied manually. At the time of the incident, the machine was awaiting a replacement safety catch from the manufacturer. The operative along with the Weighbridge Manager, was present when the firm's Approved Contractor advised that pending replacement of the safety catch the automatic override would not operate properly meaning that it was possible to open the caged side access door without the machine switching off and that extra care should be taken i.e. the machine should still be taken out of automatic mode when any manual intervention was necessary. At the time of the incident, the machine was left running and whilst attempting to tie a bale manually his finger became caught against the bale and the baling chamber and the baling wire cut through his finger.",70000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4791985,4791985,Ian Sharpe[1],13/01/2021,Gedling,,S37 prosecution of director – employee fell from unsafe scaffold tower.,1558.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4785955,4785955,Jackson's Bakery Limited[1],02/02/2023,North Northamptonshire,10710 - MF BREAD/FRESH PASTRY/CAKES,"Failure to ensure that employees of the engineering team were protected in regards to the health, safety and welfare of their work, so far as is reasonably practicable, as: - The task of changing pulleys had not been risk assessed - The task of taking guards of machines to fault find had not been risk assessed - There was no safe operating procedure on how to change pulleys or run machines without guards to fault find - The company did not provide engineers suitable and sufficient training on how to change pulleys, including the practical application of Lock out Tag Out - No one checked that the engineers were Locking out machines when they were unguarded or following relevant company procedures",366666.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4723548,4723548,John Brooke (Timber Treatments) Limited[1],29/04/2019,Rushcliffe,16100 - SAWMILLING AND PLANING OF WOOD,Investigation of workplace fatality where JCB loader fitted with large light material handling bucket collided with pedestrian (company director ) in the yard.,22500.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4800151,4800151,Dean Young[1],03/05/2023,Durham County UA,,"Fall from height through a fragile roof, with no control measures in place (safety nets or roof walking boards).",0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4800153,4800153,ECO ENERG Solutions (Renewables) Limited[1],03/05/2023,Durham County UA,43220 - INSTALL PLUMB/HEAT/AIR-CON,"Fall from height through a fragile roof, with no control measures in place (safety nets or roof walking boards).",24000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4790140,4790140,Esken Renewables Limited[1],14/06/2022,Stockton-on-Tees,38110 - COLLECTION NON-HAZARDOUS WASTE,Inadequate control of wood dust during wood recycling activities.,160000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4808594,4808594,Midland Steel Traders Limited[1],18/10/2022,Sunderland,,Agency worker injured during lifting operation in which a FLT and crane were to be used together to rotate an excavator bucket.,100000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4811651,4811651,Premier Attractions Limited[1],19/03/2023,South Tyneside,93210 - AMUSEMENT PARKS/THEME PARKS,Dutyholder has fallen below required standard and a fatality has resulted from the incident.,28000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4781093,4781093,Union Electric Steel UK Ltd[1],17/06/2022,Gateshead,25110 - MF METAL (PARTIAL) STRUCTURES,Removal of anti-collision device on crane and failure to reinstate it. This led to a molten metal spill.,80000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4799907,4799907,J A Jewitt (Meat) Limited[1],09/03/2023,Durham County UA,10110 - PROCESSING/PRESERVING OF MEAT,Inadequate procedures in place to prevent access to the dangerous parts of the pig dehairing machine.,80000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4803384,4803384,Novares Peterlee Limited[1],13/10/2021,Durham County UA,22290 - MF OF OTHER PLASTIC PRODUCTS,"Unsafe work at height, lack of suitable systems for safe maintenance (including isolation and lock off), and incident on 13th of October 2021 in which injured person sustained serious burns.",204000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4793458,4793458,Cheshire East Council[1],28/08/2020,Cheshire East UA,84110 - GENERAL PUBLIC ADMINISTRATION,Proposed Prosecution as a result of a fatality. No tree risk management strategy.,500000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4743921,4743921,D S Thornhill (Rushton) Ltd[1],01/02/2021,Cheshire West and Chester UA,01500 - MIXED FARMING,Prosecution - D S Thornhill Ltd - HSWA S3(1). Failed to conduct its undertaking in such a way as to ensure that persons not in its employment who may be affected thereby and who included Mark Young were not thereby exposed to risks to their health and safety.,12000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4793454,4793454,ANSA Environmental Services Limited[1],28/08/2020,Cheshire East UA,,Proposed prosecution as a result of a fatality. No tree risk management strategy.,5.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4756851,4756851,Devenish Nutrition Limited[1],03/05/2022,Halton UA,10910 - MF PREPARED FEED 4 FARM ANIMAL,Failure to control substances hazardous to health and previous advice given.,120000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4795154,4795154,David Wood Baking Limited[1],20/07/2022,Bolton,10850 - MF PREPARED MEALS AND DISHES,Lack of information instruction and training and risk assessment.,191000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4743927,4743927,Denis Thornhill[1],01/02/2021,Cheshire West and Chester UA,01110 - GROW CEREALS/LEGUMES/OIL SEEDS,Prosecution - Denis Thornhill - HSWA S3 (1). Failed to conduct its undertaking in such a way as to ensure that persons not in its employment who may be affected were not thereby exposed to risks to their health and safety,4000.00
